window,merchant_id,best_model,best_mape
2022,M001,Holt,7.9307133451354535
2022,M002,Holt,7.230590656777343
2022,M003,Holt,10.072315648858863
2022,M004,Holt-Winters,10.461120763408099
2022,M005,Naive,5.807977733334189
2022,M006,Holt-Winters,10.444831838660297
2022,M007,Holt,10.151751183170031
2022,M008,Seasonal Naive,8.593159006756125
2022,M009,SES,11.311111982268706
2022,M010,SMA(3),6.762164971550616
2022,M011,Holt,5.6161810466537805
2022,M012,Holt,7.180069121972416
2022,M013,Holt,6.985016981819367
2022,M014,Holt-Winters,5.504585892915398
2022,M015,SES,8.544835703765315
2022,M016,Holt-Winters,7.263886644225617
2022,M017,Holt-Winters,12.702633275125697
2022,M018,SES,8.255393534061167
2022,M019,Naive,9.594746612310926
2022,M020,Holt,6.674773918690745
2022,M021,Holt,9.088465119381258
2022,M022,SES,10.051821290884378
2022,M023,"WMA(1,2,3)",7.751388891519216
2022,M024,"WMA(1,2,3)",4.779138118167487
2022,M025,SES,5.648832196538971
2022,M026,SMA(3),8.244906746588459
2022,M027,Holt-Winters,9.450233795112915
2022,M028,Naive,5.606093414020384
2022,M029,Naive,9.637329486447541
2022,M030,Holt,6.505265816617214
2022,M031,Holt-Winters,3.9993061764684708
2022,M032,Holt-Winters,7.663022541959006
2022,M033,SMA(3),6.873140227940371
2022,M034,Holt,6.774585455338335
2022,M035,Holt,9.88283316124277
2022,M036,Naive,6.923328267986051
2022,M037,"WMA(1,2,3)",9.147158271902772
2022,M038,Holt-Winters,9.450745073795481
2022,M039,SMA(3),6.189946193003718
2022,M040,Naive,4.9158484162887595
2022,M041,Naive,5.323329056500323
2022,M042,SMA(3),8.36941339154469
2022,M043,Naive,5.6089797945108515
2022,M044,Naive,9.660710145567176
2022,M045,"WMA(1,2,3)",8.64381342055958
2022,M046,Naive,8.313318092272636
2022,M047,Seasonal Naive,7.996134520268596
2022,M048,Seasonal Naive,11.877572364231716
2022,M049,Seasonal Naive,11.59490437724848
2022,M050,SMA(3),6.351105337191089
2023,M001,Holt,6.747793030648144
2023,M002,Naive,4.963460529215518
