window,merchant_id,model,n_train_months,min_train_months,status,detail
2022,M001,Naive,24,1,success,
2022,M001,Seasonal Naive,24,12,success,
2022,M001,SMA(3),24,3,success,
2022,M001,"WMA(1,2,3)",24,3,success,
2022,M001,SES,24,2,success,
2022,M001,Holt,24,3,success,
2022,M001,Holt-Winters,24,24,success,
2022,M001,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M001,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M002,Naive,24,1,success,
2022,M002,Seasonal Naive,24,12,success,
2022,M002,SMA(3),24,3,success,
2022,M002,"WMA(1,2,3)",24,3,success,
2022,M002,SES,24,2,success,
2022,M002,Holt,24,3,success,
2022,M002,Holt-Winters,24,24,success,
2022,M002,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M002,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M003,Naive,24,1,success,
2022,M003,Seasonal Naive,24,12,success,
2022,M003,SMA(3),24,3,success,
2022,M003,"WMA(1,2,3)",24,3,success,
2022,M003,SES,24,2,success,
2022,M003,Holt,24,3,success,
2022,M003,Holt-Winters,24,24,success,
2022,M003,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M003,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M004,Naive,24,1,success,
2022,M004,Seasonal Naive,24,12,success,
2022,M004,SMA(3),24,3,success,
2022,M004,"WMA(1,2,3)",24,3,success,
2022,M004,SES,24,2,success,
2022,M004,Holt,24,3,success,
2022,M004,Holt-Winters,24,24,success,
2022,M004,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M004,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M005,Naive,24,1,success,
2022,M005,Seasonal Naive,24,12,success,
2022,M005,SMA(3),24,3,success,
2022,M005,"WMA(1,2,3)",24,3,success,
2022,M005,SES,24,2,success,
2022,M005,Holt,24,3,success,
2022,M005,Holt-Winters,24,24,success,
2022,M005,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M005,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M006,Naive,24,1,success,
2022,M006,Seasonal Naive,24,12,success,
2022,M006,SMA(3),24,3,success,
2022,M006,"WMA(1,2,3)",24,3,success,
2022,M006,SES,24,2,success,
2022,M006,Holt,24,3,success,
2022,M006,Holt-Winters,24,24,success,
2022,M006,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M006,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M007,Naive,24,1,success,
2022,M007,Seasonal Naive,24,12,success,
2022,M007,SMA(3),24,3,success,
2022,M007,"WMA(1,2,3)",24,3,success,
2022,M007,SES,24,2,success,
2022,M007,Holt,24,3,success,
2022,M007,Holt-Winters,24,24,success,
2022,M007,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M007,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M008,Naive,24,1,success,
2022,M008,Seasonal Naive,24,12,success,
2022,M008,SMA(3),24,3,success,
2022,M008,"WMA(1,2,3)",24,3,success,
2022,M008,SES,24,2,success,
2022,M008,Holt,24,3,success,
2022,M008,Holt-Winters,24,24,success,
2022,M008,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M008,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M009,Naive,24,1,success,
2022,M009,Seasonal Naive,24,12,success,
2022,M009,SMA(3),24,3,success,
2022,M009,"WMA(1,2,3)",24,3,success,
2022,M009,SES,24,2,success,
2022,M009,Holt,24,3,success,
2022,M009,Holt-Winters,24,24,success,
2022,M009,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M009,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M010,Naive,24,1,success,
2022,M010,Seasonal Naive,24,12,success,
2022,M010,SMA(3),24,3,success,
2022,M010,"WMA(1,2,3)",24,3,success,
2022,M010,SES,24,2,success,
2022,M010,Holt,24,3,success,
2022,M010,Holt-Winters,24,24,success,
2022,M010,SARIMA,24,36,not_eligible,Training history is 24 months; SARIMA requires 36.
2022,M010,Driver Scenario Regression,24,36,not_eligible,Training history is 24 months; Driver Scenario Regression requires 36.
2022,M011,Naive,24,1,success,
2022,M011,Seasonal Naive,24,12,success,
2022,M011,SMA(3),24,3,success,
2022,M011,"WMA(1,2,3)",24,3,success,
2022,M011,SES,24,2,success,
2022,M011,Holt,24,3,success,
